,Country_code,Category,Product,Raw_material_ontology,Level0,Level1,Level2,Level4
85,['250'],cheese,Angelot,cow_milk,Materials,dairy_products,milk,cow_milk
86,['250'],cheese,Bleu_de_Termignon,cow_milk,Materials,dairy_products,milk,cow_milk
87,['250'],cheese,Brie,cow_milk,Materials,dairy_products,milk,cow_milk
88,['250'],cheese,Camembert,cow_milk,Materials,dairy_products,milk,cow_milk
89,['250'],cheese,Cantal,cow_milk,Materials,dairy_products,milk,cow_milk
90,['250'],cheese,Comte,cow_milk,Materials,dairy_products,milk,cow_milk
91,['250'],dairy_product,Creme_fraiche,cow_milk,Materials,dairy_products,milk,cow_milk
92,['250'],cheese,Demi-sel,cow_milk,Materials,dairy_products,milk,cow_milk
93,['250'],cheese,Faisselle,cow_milk,Materials,dairy_products,milk,cow_milk
94,['250'],cheese,Laguiole,cow_milk,Materials,dairy_products,milk,cow_milk
95,['250'],cheese,Munster,cow_milk,Materials,dairy_products,milk,cow_milk
96,['250'],cheese,Pont-l'Évêque,cow_milk,Materials,dairy_products,milk,cow_milk
97,['250'],cheese,Bleu_d'Auvergne,cow_milk,Materials,dairy_products,milk,cow_milk
98,['250'],cheese,Saint-Nectaire,cow_milk,Materials,dairy_products,milk,cow_milk
99,['250'],cheese,Saint-Paulin,cow_milk,Materials,dairy_products,milk,cow_milk
100,['250'],cheese,Fourme_d'Ambert,cow_milk,Materials,dairy_products,milk,cow_milk
101,['250'],cheese,Fourme_de_Montbrison,cow_milk,Materials,dairy_products,milk,cow_milk
102,['250'],cheese,Reblochon,cow_milk,Materials,dairy_products,milk,cow_milk
103,['250'],cheese,Langres,cow_milk,Materials,dairy_products,milk,cow_milk
104,['250'],cheese,Epoisses_de_Bourgogne,cow_milk,Materials,dairy_products,milk,cow_milk
105,['250'],cheese,Mimolette_(Boule_de_Lille),cow_milk,Materials,dairy_products,milk,cow_milk
106,['250'],cheese,Carre_de_l'est,cow_milk,Materials,dairy_products,milk,cow_milk
107,['250'],cheese,Port_Salut,cow_milk,Materials,dairy_products,milk,cow_milk
108,['250'],cheese,Tomme_de_Savoie,cow_milk,Materials,dairy_products,milk,cow_milk
109,['250'],cheese,Beaufort,cow_milk,Materials,dairy_products,milk,cow_milk
110,['268'],cheese,Sulguni,cow_milk,Materials,dairy_products,milk,cow_milk
111,['276'],fermented_cereal,Christstollen,cow_milk,Materials,dairy_products,milk,cow_milk
112,"['288', ' 566', ' 854']",yogurt,Nunu,cow_milk,Materials,dairy_products,milk,cow_milk
113,['nan'],dairy_product,Buttermilk,cow_milk,Materials,dairy_products,milk,cow_milk
114,['300'],fermented_cereal,Trahana,cow_milk,Materials,dairy_products,milk,cow_milk
115,['300'],cheese,Kopanisti,cow_milk,Materials,dairy_products,milk,cow_milk
116,['300'],cheese,Graviera_Naxou,cow_milk,Materials,dairy_products,milk,cow_milk
117,"['300', ' 196']",cheese,Kefalotyri,cow_milk,Materials,dairy_products,milk,cow_milk
118,['352'],Yoghurt,Skyr,cow_milk,Materials,dairy_products,milk,cow_milk
119,['356'],dairy_product,Chaas,cow_milk,Materials,dairy_products,milk,cow_milk
120,['356'],Yoghurt,Lassi,cow_milk,Materials,dairy_products,milk,cow_milk
121,['356'],dairy_product,Somar,cow_milk,Materials,dairy_products,milk,cow_milk
122,['356'],dairy_product,"Ghee,_Gheu",cow_milk,Materials,dairy_products,milk,cow_milk
123,['356'],dairy_product,Shrikhand,cow_milk,Materials,dairy_products,milk,cow_milk
124,"['356', ' 050']",dairy_product,"Misti_dahi,_Mishti_doi,_Lal_dahi,_Payodhi",cow_milk,Materials,dairy_products,milk,cow_milk
125,"['356', ' 064', ' 524']",cheese,Dudh_churpi,cow_milk,Materials,dairy_products,milk,cow_milk
126,"['356', ' 064', ' 524', ' 156']",cheese,"Chhu,_Sheden",cow_milk,Materials,dairy_products,milk,cow_milk
127,"['356', ' 064', ' 524', ' 156']",cheese,Chhurpi,cow_milk,Materials,dairy_products,milk,cow_milk
128,"['356', ' 524']",fermented_cereal,Selroti,cow_milk,Materials,dairy_products,milk,cow_milk
129,"['356', ' 524', ' 156']",dairy_product,Philu,cow_milk,Materials,dairy_products,milk,cow_milk
130,"['356', ' 524', ' 568', ' 050']",cheese,Paneer,cow_milk,Materials,dairy_products,milk,cow_milk
131,"['356', ' 524', ' 144', ' 050', ' 568']",Yoghurt,Dahi,cow_milk,Materials,dairy_products,milk,cow_milk
132,['360'],dairy_product,Dadih,cow_milk,Materials,dairy_products,milk,cow_milk
133,['364'],dairy_product,Doogh,cow_milk,Materials,dairy_products,milk,cow_milk
134,"['364', ' 368', ' 268', ' 792', ' 300', ' 422', ' 807', ' 688', ' 760', ' 499', ' 070', ' 004', ' 031', ' 398', ' 586']",dairy_product,"Kaymak,_Kajmak,_Kaimak,_Gemagh,_Geymar",cow_milk,Materials,dairy_products,milk,cow_milk
135,['372'],cheese,Durrus,cow_milk,Materials,dairy_products,milk,cow_milk
136,['372'],cheese,Dilliskus,cow_milk,Materials,dairy_products,milk,cow_milk
137,['372'],cheese,Gubbeen,cow_milk,Materials,dairy_products,milk,cow_milk
138,['372'],cheese,Cashel_Blue,cow_milk,Materials,dairy_products,milk,cow_milk
139,['372'],cheese,Milleens,cow_milk,Materials,dairy_products,milk,cow_milk
140,['380'],cheese,Fontina_Val_D'Aosta,cow_milk,Materials,dairy_products,milk,cow_milk
141,['380'],cheese,Montasio,cow_milk,Materials,dairy_products,milk,cow_milk
142,['380'],cheese,Valle_D'Aosta_Fromadzo,cow_milk,Materials,dairy_products,milk,cow_milk
143,['380'],cheese,Asiago,cow_milk,Materials,dairy_products,milk,cow_milk
144,['380'],cheese,Burrata,cow_milk,Materials,dairy_products,milk,cow_milk
145,['380'],cheese,Caciocavallo,cow_milk,Materials,dairy_products,milk,cow_milk
146,['380'],cheese,Gorgonzola,cow_milk,Materials,dairy_products,milk,cow_milk
147,['380'],cheese,Grana_Padano,cow_milk,Materials,dairy_products,milk,cow_milk
148,['380'],cheese,Mascarpone,cow_milk,Materials,dairy_products,milk,cow_milk
149,['380'],cheese,Provolone_del_Monaco,cow_milk,Materials,dairy_products,milk,cow_milk
150,['380'],cheese,Provolone_Valpadana,cow_milk,Materials,dairy_products,milk,cow_milk
151,['380'],cheese,Ricotta,cow_milk,Materials,dairy_products,milk,cow_milk
152,['380'],cheese,Taleggio,cow_milk,Materials,dairy_products,milk,cow_milk
153,['404'],dairy_product,Maziwa_lala,cow_milk,Materials,dairy_products,milk,cow_milk
154,['440'],cheese,Liliputas,cow_milk,Materials,dairy_products,milk,cow_milk
155,['484'],cheese,Queso_anejo,cow_milk,Materials,dairy_products,milk,cow_milk
156,['528'],cheese,Gouda,cow_milk,Materials,dairy_products,milk,cow_milk
157,['528'],cheese,Edam,cow_milk,Materials,dairy_products,milk,cow_milk
158,['528'],cheese,Nagelkaas,cow_milk,Materials,dairy_products,milk,cow_milk
159,['528'],cheese,Kanterkaas,cow_milk,Materials,dairy_products,milk,cow_milk
160,['578'],cheese,Gamalost,cow_milk,Materials,dairy_products,milk,cow_milk
161,['642'],cheese,Telemea,cow_milk,Materials,dairy_products,milk,cow_milk
162,"['643', ' 112', ' 804']",dairy_product,Ryazhenka,cow_milk,Materials,dairy_products,milk,cow_milk
163,"['643', ' 804']",dairy_product,Smetana,cow_milk,Materials,dairy_products,milk,cow_milk
164,"['703', ' 642', ' 616']",cheese,Bryndza,cow_milk,Materials,dairy_products,milk,cow_milk
165,['724'],cheese,Queso_Tetilla,cow_milk,Materials,dairy_products,milk,cow_milk
166,['724'],cheese,Mahon,cow_milk,Materials,dairy_products,milk,cow_milk
167,['752'],cheese,Svecia,cow_milk,Materials,dairy_products,milk,cow_milk
168,['752'],cheese,Västerbotten,cow_milk,Materials,dairy_products,milk,cow_milk
169,['756'],cheese,Appenzeller_Käse,cow_milk,Materials,dairy_products,milk,cow_milk
170,['756'],cheese,Emmental_cheese,cow_milk,Materials,dairy_products,milk,cow_milk
171,['756'],cheese,Gruyère,cow_milk,Materials,dairy_products,milk,cow_milk
172,['756'],cheese,Tilsiter,cow_milk,Materials,dairy_products,milk,cow_milk
173,['756'],cheese,Vacherin_Fribourgeois,cow_milk,Materials,dairy_products,milk,cow_milk
174,['756'],cheese,Schabziger,cow_milk,Materials,dairy_products,milk,cow_milk
175,"['756', ' 250']",cheese,Vacherin_Mont-d'Or,cow_milk,Materials,dairy_products,milk,cow_milk
176,"['756', ' 438']",nan,Bloder-Sauer_Kaese,cow_milk,Materials,dairy_products,milk,cow_milk
177,['792'],cheese,Beyaz_peynir,cow_milk,Materials,dairy_products,milk,cow_milk
178,"['792', ' 364']",cheese,Lor,cow_milk,Materials,dairy_products,milk,cow_milk
179,['826'],cheese,Cheddar,cow_milk,Materials,dairy_products,milk,cow_milk
180,['826'],cheese,Stichelton,cow_milk,Materials,dairy_products,milk,cow_milk
181,['826'],cheese,Crowdie,cow_milk,Materials,dairy_products,milk,cow_milk
182,['826'],cheese,Stilton,cow_milk,Materials,dairy_products,milk,cow_milk
183,['826'],cheese,Yarg_Cornish_Cheese,cow_milk,Materials,dairy_products,milk,cow_milk
184,['826'],cheese,Caerphilly,cow_milk,Materials,dairy_products,milk,cow_milk
185,['826'],cheese,Caboc,cow_milk,Materials,dairy_products,milk,cow_milk
186,"['826', ' 578', ' 352']",alcoholic_beverage,Blaand,cow_milk,Materials,dairy_products,milk,cow_milk
187,"['008', ' 100', ' 807', ' 688', ' 642', ' 643']",cheese,Kashkaval,sheep_milk,Materials,dairy_products,milk,sheep_milk
188,"['008', ' 642', ' 807', ' 498', ' 100', ' 688', ' 348', ' 804']",cheese,"Urdha,_Urda,_Vurda,_Orda,_Izvara,_Zsendice",sheep_milk,Materials,dairy_products,milk,sheep_milk
189,"['051', ' 792']",cheese,"Motal_Paniri,_Panire_Khiki,_Panire_Pousti",sheep_milk,Materials,dairy_products,milk,sheep_milk
190,"['076', ' 484', ' 858']",cheese,Requeson,sheep_milk,Materials,dairy_products,milk,sheep_milk
191,['100'],cheese,Cherni_Vit_Green_Cheese,sheep_milk,Materials,dairy_products,milk,sheep_milk
192,['100'],cheese,Sirene,sheep_milk,Materials,dairy_products,milk,sheep_milk
193,['191'],cheese,Pag_Island_Cheese,sheep_milk,Materials,dairy_products,milk,sheep_milk
194,['196'],cheese,Halloumi,sheep_milk,Materials,dairy_products,milk,sheep_milk
195,['196'],cheese,Anari,sheep_milk,Materials,dairy_products,milk,sheep_milk
196,['250'],cheese,Basque_Pyrenees_Mountain_Cheeses,sheep_milk,Materials,dairy_products,milk,sheep_milk
197,['250'],cheese,Faisselle,sheep_milk,Materials,dairy_products,milk,sheep_milk
198,['250'],cheese,Roquefort,sheep_milk,Materials,dairy_products,milk,sheep_milk
199,['300'],cheese,Feta,sheep_milk,Materials,dairy_products,milk,sheep_milk
200,['300'],fermented_cereal,Trahana,sheep_milk,Materials,dairy_products,milk,sheep_milk
201,['300'],cheese,Kasseri,sheep_milk,Materials,dairy_products,milk,sheep_milk
202,['300'],cheese,Kopanisti,sheep_milk,Materials,dairy_products,milk,sheep_milk
203,['300'],cheese,"Manouri,_Anthotyros,_Mizithra",sheep_milk,Materials,dairy_products,milk,sheep_milk
204,['300'],cheese,Graviera_Agrafon,sheep_milk,Materials,dairy_products,milk,sheep_milk
205,['300'],cheese,Graviera_Kritis,sheep_milk,Materials,dairy_products,milk,sheep_milk
206,"['300', ' 196']",cheese,Kefalotyri,sheep_milk,Materials,dairy_products,milk,sheep_milk
207,['380'],cheese,Pecorino_Romano,sheep_milk,Materials,dairy_products,milk,sheep_milk
208,['380'],cheese,Murazzano,sheep_milk,Materials,dairy_products,milk,sheep_milk
209,['380'],cheese,"Bros,_Bross,_Brus,_Bruss,_Bruzzo",sheep_milk,Materials,dairy_products,milk,sheep_milk
210,['380'],cheese,Caciocavallo,sheep_milk,Materials,dairy_products,milk,sheep_milk
211,['380'],cheese,Casu_martzu,sheep_milk,Materials,dairy_products,milk,sheep_milk
212,['380'],cheese,Pecorino_Sardo,sheep_milk,Materials,dairy_products,milk,sheep_milk
213,['380'],cheese,Pecorino_Siciliano,sheep_milk,Materials,dairy_products,milk,sheep_milk
214,['380'],cheese,Pecorino_Toscano,sheep_milk,Materials,dairy_products,milk,sheep_milk
215,['380'],cheese,Ricotta,sheep_milk,Materials,dairy_products,milk,sheep_milk
216,"['703', ' 642', ' 616']",cheese,Bryndza,sheep_milk,Materials,dairy_products,milk,sheep_milk
217,['724'],cheese,Manchego,sheep_milk,Materials,dairy_products,milk,sheep_milk
218,['724'],cheese,Torta_del_Cesar,sheep_milk,Materials,dairy_products,milk,sheep_milk
219,['724'],cheese,Idiazabal,sheep_milk,Materials,dairy_products,milk,sheep_milk
220,['792'],cheese,Beyaz_peynir,sheep_milk,Materials,dairy_products,milk,sheep_milk
221,"['792', ' 364']",cheese,Lor,sheep_milk,Materials,dairy_products,milk,sheep_milk
222,"['008', ' 100', ' 807', ' 688', ' 642', ' 643']",cheese,Kashkaval,buffalo_milk,Materials,dairy_products,milk,buffalo_milk
223,['268'],cheese,Sulguni,buffalo_milk,Materials,dairy_products,milk,buffalo_milk
224,['356'],dairy_product,Chaas,buffalo_milk,Materials,dairy_products,milk,buffalo_milk
225,['356'],cheese,"Kalari,_Kradi",buffalo_milk,Materials,dairy_products,milk,buffalo_milk
226,['356'],Yoghurt,Lassi,buffalo_milk,Materials,dairy_products,milk,buffalo_milk
227,['356'],dairy_product,"Ghee,_Gheu",buffalo_milk,Materials,dairy_products,milk,buffalo_milk
228,['356'],dairy_product,Shrikhand,buffalo_milk,Materials,dairy_products,milk,buffalo_milk
229,"['356', ' 050']",dairy_product,"Misti_dahi,_Mishti_doi,_Lal_dahi,_Payodhi",buffalo_milk,Materials,dairy_products,milk,buffalo_milk
230,"['356', ' 524', ' 568', ' 050']",cheese,Paneer,buffalo_milk,Materials,dairy_products,milk,buffalo_milk
231,"['356', ' 524', ' 144', ' 050', ' 568']",Yoghurt,Dahi,buffalo_milk,Materials,dairy_products,milk,buffalo_milk
232,['360'],dairy_product,Dadih,buffalo_milk,Materials,dairy_products,milk,buffalo_milk
233,"['364', ' 368', ' 268', ' 792', ' 300', ' 422', ' 807', ' 688', ' 760', ' 499', ' 070', ' 004', ' 031', ' 398', ' 586']",dairy_product,"Kaymak,_Kajmak,_Kaimak,_Gemagh,_Geymar",buffalo_milk,Materials,dairy_products,milk,buffalo_milk
234,['380'],cheese,Mozzarella_di_Bufala,buffalo_milk,Materials,dairy_products,milk,buffalo_milk
235,['380'],cheese,Ricotta,buffalo_milk,Materials,dairy_products,milk,buffalo_milk
236,"['792', ' 364']",cheese,Lor,buffalo_milk,Materials,dairy_products,milk,buffalo_milk
237,"['008', ' 100', ' 807', ' 688', ' 642', ' 643']",cheese,Kashkaval,goat_milk,Materials,dairy_products,milk,goat_milk
238,"['008', ' 642', ' 807', ' 498', ' 100', ' 688', ' 348', ' 804']",cheese,"Urdha,_Urda,_Vurda,_Orda,_Izvara,_Zsendice",goat_milk,Materials,dairy_products,milk,goat_milk
239,"['076', ' 484', ' 858']",cheese,Requeson,goat_milk,Materials,dairy_products,milk,goat_milk
240,['100'],cheese,Sirene,goat_milk,Materials,dairy_products,milk,goat_milk
241,['196'],cheese,Halloumi,goat_milk,Materials,dairy_products,milk,goat_milk
242,['196'],cheese,Anari,goat_milk,Materials,dairy_products,milk,goat_milk
243,['231'],yogurt,Ergo,goat_milk,Materials,dairy_products,milk,goat_milk
244,['250'],cheese,Faisselle,goat_milk,Materials,dairy_products,milk,goat_milk
245,['250'],cheese,Picodon,goat_milk,Materials,dairy_products,milk,goat_milk
246,['250'],cheese,Poligny_Saint_Pierre,goat_milk,Materials,dairy_products,milk,goat_milk
