,Country_code,Category,Product,Raw_material_ontology,Level0,Level1,Level2,Level4
114,"['356', ' 524', ' 156']",alcoholic_beverage,"Chhaang,_Chhyang,_Lugri",barley,Materials,cereal_food,hordeum,barley
115,"['356', ' 524']",alcoholic_beverage,Jao_ko_jaanr,barley,Materials,cereal_food,hordeum,barley
116,"['356', ' 524']",alcoholic_beverage,Raksi,barley,Materials,cereal_food,hordeum,barley
117,['056'],beer,Lambic_beer,wheat,Materials,cereal_food,triticum,wheat
118,['156'],alcoholic_beverage,Baijiu,wheat,Materials,cereal_food,triticum,wheat
119,['156'],fermented_cereal,Chee-fan,wheat,Materials,cereal_food,triticum,wheat
120,['156'],fermented_legumes,Doubanjiang,wheat,Materials,cereal_food,triticum,wheat
121,['156'],fermented_cereal,Mantou,wheat,Materials,cereal_food,triticum,wheat
122,['156'],fermented_cereal,Minchin,wheat,Materials,cereal_food,triticum,wheat
123,['156'],alcoholic_beverage,Shaosingh-jiu,wheat,Materials,cereal_food,triticum,wheat
124,['156'],fermented_vegetables,Yongfeng_chili_sauce,wheat,Materials,cereal_food,triticum,wheat
125,['156'],fermented_legumes,Tianmianjiang,wheat,Materials,cereal_food,triticum,wheat
126,['356'],fermented_cereal,Taotjo,wheat,Materials,cereal_food,triticum,wheat
127,['818'],fermented_cereal,Egyptian_Kishk,wheat,Materials,cereal_food,triticum,wheat
128,['231'],beer,Tella,wheat,Materials,cereal_food,triticum,wheat
129,['246'],beer,Sahti,wheat,Materials,cereal_food,triticum,wheat
130,['276'],fermented_cereal,Christstollen,wheat,Materials,cereal_food,triticum,wheat
131,['300'],fermented_cereal,Trahana,wheat,Materials,cereal_food,triticum,wheat
132,['356'],fermented_cereal,Kurdi,wheat,Materials,cereal_food,triticum,wheat
133,"['356', ' 524']",alcoholic_beverage,Gahoon_ko_jaanr,wheat,Materials,cereal_food,triticum,wheat
134,"['356', ' 524']",alcoholic_beverage,Raksi,wheat,Materials,cereal_food,triticum,wheat
135,"['356', ' 524']",fermented_cereal,Selroti,wheat,Materials,cereal_food,triticum,wheat
136,"['004', ' 012', ' 480', ' 031', ' 050', ' 818', ' 231', ' 242', ' 356', ' 364', ' 368', ' 524', ' 586', ' 144', ' 760', ' 788', ' 792']",fermented_cereal,Jalebi,wheat,Materials,cereal_food,triticum,wheat
137,['620'],fermented_meat,Alheira,wheat,Materials,cereal_food,triticum,wheat
138,['204'],alcoholic_beverage,Gowe,sorghum,Materials,cereal_food,sorghum,sorghum
139,['204'],alcoholic_beverage,Tchoukoutou,sorghum,Materials,cereal_food,sorghum,sorghum
140,['072'],fermented_cereal,Bogobe,sorghum,Materials,cereal_food,sorghum,sorghum
141,['072'],fermented_cereal,Ting,sorghum,Materials,cereal_food,sorghum,sorghum
142,['108'],alcoholic_beverage,Impeke,sorghum,Materials,cereal_food,sorghum,sorghum
143,['156'],alcoholic_beverage,Baijiu,sorghum,Materials,cereal_food,sorghum,sorghum
144,"['070', ' 191', ' 688', ' 807', ' 100']",fermented_vegetables,Sour_cabbage,cabbage,Materials,vegetables,head vegetable,cabbage
145,['222'],fermented_vegetables,Curtido,cabbage,Materials,vegetables,head vegetable,cabbage
146,['156'],fermented_vegetables,Chinese_pickles,cabbage,Materials,vegetables,head vegetable,cabbage
147,['156'],fermented_vegetables,Meigan_cai,cabbage,Materials,vegetables,head vegetable,cabbage
148,['156'],fermented_vegetables,Pao_cai,cabbage,Materials,vegetables,head vegetable,cabbage
149,['156'],fermented_vegetables,Suan-cai,cabbage,Materials,vegetables,head vegetable,cabbage
150,['276'],fermented_vegetables,Sauerkraut,cabbage,Materials,vegetables,head vegetable,cabbage
151,['360'],fermented_vegetables,Sayur_asin,cabbage,Materials,vegetables,head vegetable,cabbage
152,['108'],alcoholic_beverage,Isongo,cavendish_banana,Materials,fruits,berry fruit,cavendish_banana
153,['108'],alcoholic_beverage,Urwarwa,cavendish_banana,Materials,fruits,berry fruit,cavendish_banana
154,"['124', ' 040', ' 276']",wine,Ice_wine,grape,Materials,fruits,berry fruit,grape
155,['250'],wine,Floc_de_Gascogne,grape,Materials,fruits,berry fruit,grape
156,['250'],wine,Maury,grape,Materials,fruits,berry fruit,grape
157,['250'],wine,"Sauternes,_Monbazillac",grape,Materials,fruits,berry fruit,grape
158,"['276', ' add']",wine,Trockenbeerenauslese,grape,Materials,fruits,berry fruit,grape
159,"['276', ' 616']",wine,Spaetlese,grape,Materials,fruits,berry fruit,grape
160,['348'],wine,"Tokaji,_Tokaj",grape,Materials,fruits,berry fruit,grape
161,['nan'],dairy_product,Kumis,horse,Materials,dairy_products,equine dairy product,horse
162,['156'],alcoholic_beverage,Baijiu,rice,Materials,cereal_food,oryza,rice
163,['156'],alcoholic_beverage,Choujiu,rice,Materials,cereal_food,oryza,rice
164,['156'],alcoholic_beverage,Huangjiu,rice,Materials,cereal_food,oryza,rice
165,['156'],alcoholic_beverage,Shaosingh-jiu,rice,Materials,cereal_food,oryza,rice
166,['156'],fermented_vegetables,Yongfeng_chili_sauce,rice,Materials,cereal_food,oryza,rice
167,"['156', ' 360']",fermented_cereal,Lao-chao,rice,Materials,cereal_food,oryza,rice
168,['156'],fermented_cereal,Angkak,rice,Materials,cereal_food,oryza,rice
169,['356'],fermented_cereal,Taotjo,rice,Materials,cereal_food,oryza,rice
170,['218'],fermented_cereal,Sierra_rice,rice,Materials,cereal_food,oryza,rice
171,['356'],fermented_legumes,Dhokla,rice,Materials,cereal_food,oryza,rice
172,['356'],fermented_cereal,Adai,rice,Materials,cereal_food,oryza,rice
173,['356'],fermented_cereal,Anarshe,rice,Materials,cereal_food,oryza,rice
174,['356'],alcoholic_beverage,Poro_Apong,rice,Materials,cereal_food,oryza,rice
175,"['356', ' 144']",fermented_cereal,Appam,rice,Materials,cereal_food,oryza,rice
176,['356'],alcoholic_beverage,Atingba,rice,Materials,cereal_food,oryza,rice
177,['356'],fermented_cereal,Chakuli_pitha,rice,Materials,cereal_food,oryza,rice
178,['356'],fermented_cereal,Dosa,rice,Materials,cereal_food,oryza,rice
179,['356'],fermented_cereal,Enduri_Pitha,rice,Materials,cereal_food,oryza,rice
180,['356'],alcoholic_beverage,Ennog,rice,Materials,cereal_food,oryza,rice
181,['356'],alcoholic_beverage,Jou,rice,Materials,cereal_food,oryza,rice
182,['356'],alcoholic_beverage,Mingiri,rice,Materials,cereal_food,oryza,rice
183,['356'],alcoholic_beverage,Lohpani,rice,Materials,cereal_food,oryza,rice
184,['356'],alcoholic_beverage,Pona,rice,Materials,cereal_food,oryza,rice
185,['356'],alcoholic_beverage,Ruhi,rice,Materials,cereal_food,oryza,rice
186,['356'],fermented_cereal,Torani,rice,Materials,cereal_food,oryza,rice
187,['356'],alcoholic_beverage,Yu,rice,Materials,cereal_food,oryza,rice
188,['356'],alcoholic_beverage,Zu,rice,Materials,cereal_food,oryza,rice
189,['356'],alcoholic_beverage,"Zutho,_Zhuchu",rice,Materials,cereal_food,oryza,rice
190,"['356', ' 524', ' 156']",alcoholic_beverage,"Chhaang,_Chhyang,_Lugri",rice,Materials,cereal_food,oryza,rice
191,"['356', ' 064', ' 524']",alcoholic_beverage,Bhaati_jaanr,rice,Materials,cereal_food,oryza,rice
192,"['356', ' 524']",alcoholic_beverage,Raksi,rice,Materials,cereal_food,oryza,rice
193,"['356', ' 524']",fermented_cereal,Selroti,rice,Materials,cereal_food,oryza,rice
194,['356'],fermented_cereal,Bhattejaanr,rice,Materials,cereal_food,oryza,rice
195,['360'],fermented_cereal,Brem,rice,Materials,cereal_food,oryza,rice
196,['608'],fermented_fish,Balao-balao,rice,Materials,cereal_food,oryza,rice
197,['608'],fermented_vegetables,Burong_mustala_(or_mustasa),rice,Materials,cereal_food,oryza,rice
198,['156'],fermented_meat,Bak_kwa,swine,Materials,meat,mammal,swine
199,['840'],fermented_meat,Pepperoni,swine,Materials,meat,mammal,swine
200,['276'],fermented_meat,Mettwurst,swine,Materials,meat,mammal,swine
201,['276'],fermented_meat,Northern_Hesse_Ahle_Wurscht,swine,Materials,meat,mammal,swine
202,"['276', ' add']",fermented_meat,Teewurst,swine,Materials,meat,mammal,swine
203,['348'],fermented_meat,Winter_salami,swine,Materials,meat,mammal,swine
204,"['356', ' 064', ' 524', ' 156']",fermented_meat,Faak_kargyong,swine,Materials,meat,mammal,swine
205,['380'],fermented_meat,"Capocollo,_Capicola,_Coppa",swine,Materials,meat,mammal,swine
206,['156'],fermented_meat,Bak_kwa,cattle,Materials,meat,mammal,cattle
207,['840'],fermented_meat,Pepperoni,cattle,Materials,meat,mammal,cattle
208,['276'],fermented_meat,Mettwurst,cattle,Materials,meat,mammal,cattle
209,"['276', ' add']",fermented_meat,Teewurst,cattle,Materials,meat,mammal,cattle
210,['356'],fermented_meat,Yak_Kargyong,cattle,Materials,meat,mammal,cattle
211,['356'],fermented_meat,Suka_ko_masu,cattle,Materials,meat,mammal,cattle
212,"['356', ' 524']",fermented_meat,Sukakomasu,cattle,Materials,meat,mammal,cattle
213,"['356', ' 064', ' 524', ' 156']",fermented_meat,Lang_kargyong,cattle,Materials,meat,mammal,cattle
214,"['356', ' 064', ' 524', ' 156']",fermented_meat,Chilu,cattle,Materials,meat,mammal,cattle
215,"['356', ' 064', ' 524', ' 156']",fermented_meat,Kheuri,cattle,Materials,meat,mammal,cattle
216,['156'],fermented_cereal,Chee-fan,soybean,Materials,legumes_seeds,bean,soybean
217,['156'],fermented_legumes,Furu,soybean,Materials,legumes_seeds,bean,soybean
218,['156'],fermented_legumes,Yandou,soybean,Materials,legumes_seeds,bean,soybean
219,['156'],fermented_vegetables,Yongfeng_chili_sauce,soybean,Materials,legumes_seeds,bean,soybean
220,['156'],fermented_legumes,Stinky_tofu,soybean,Materials,legumes_seeds,bean,soybean
221,['156'],fermented_legumes,Tianmianjiang,soybean,Materials,legumes_seeds,bean,soybean
222,['156'],fermented_legumes,Meitauza,soybean,Materials,legumes_seeds,bean,soybean
223,['356'],fermented_cereal,Taotjo,soybean,Materials,legumes_seeds,bean,soybean
224,['356'],fermented_cereal,"Aakhone,_Axone",soybean,Materials,legumes_seeds,bean,soybean
225,['356'],fermented_legumes,Bekang,soybean,Materials,legumes_seeds,bean,soybean
226,['356'],fermented_legumes,Hawaijar,soybean,Materials,legumes_seeds,bean,soybean
227,['356'],fermented_legumes,Tungrymbai,soybean,Materials,legumes_seeds,bean,soybean
228,"['356', ' 064', ' 524']",fermented_legumes,Kinema,soybean,Materials,legumes_seeds,bean,soybean
229,['360'],fermented_cereal,Kecap,soybean,Materials,legumes_seeds,bean,soybean
230,['360'],fermented_legumes,Oncom,soybean,Materials,legumes_seeds,bean,soybean
231,['156'],fermented_vegetables,Chinese_pickles,radish,Materials,vegetables,root,radish
232,"['356', ' 064', ' 524']",fermented_vegetables,Sinki,radish,Materials,vegetables,root,radish
233,['156'],fermented_vegetables,Chinese_pickles,mustard_seed,Materials,legumes_seeds,seeds,mustard_seed
234,['156'],fermented_vegetables,Meigan_cai,mustard_seed,Materials,legumes_seeds,seeds,mustard_seed
235,['356'],fermented_meat,Suka_ko_masu,mustard_seed,Materials,legumes_seeds,seeds,mustard_seed
236,['156'],fermented_legumes,Doubanjiang,pepper,Materials,fruits,berry fruit,pepper
237,['156'],fermented_legumes,Doubanjiang,broad_beans,Materials,legumes_seeds,bean,broad_beans
238,['156'],alcoholic_beverage,Huangjiu,millet_seed,Materials,legumes_seeds,seeds,millet_seed
239,"['356', ' 524', ' 064', ' 156']",alcoholic_beverage,Chhaang,millet_seed,Materials,legumes_seeds,seeds,millet_seed
240,['050'],fermented_cereal,Thumba,millet_seed,Materials,legumes_seeds,seeds,millet_seed
241,['818'],fermented_cereal,Boza,millet_seed,Materials,legumes_seeds,seeds,millet_seed
242,['231'],beer,Tella,millet_seed,Materials,legumes_seeds,seeds,millet_seed
243,"['288', ' 566']",fermented_cereal,Koko,millet_seed,Materials,legumes_seeds,seeds,millet_seed
244,['156'],alcoholic_beverage,Lychee_wine,lychee,Materials,fruits,drupe fruit,lychee
245,['156'],fermented_vegetables,Yongfeng_chili_sauce,cayenne_pepper,Materials,fruits,berry fruit,cayenne_pepper
246,['156'],fermented_vegetables,Zha_cai,mustard_tuber,Materials,vegetables,root,mustard_tuber
247,"['356', ' 524', ' 064', ' 156']",alcoholic_beverage,Chhaang,finger_millet_seed,Materials,legumes_seeds,seeds,finger_millet_seed
248,['356'],fermented_meat,"Jamma,_Geema",finger_millet_seed,Materials,legumes_seeds,seeds,finger_millet_seed
249,['356'],alcoholic_beverage,Bhangchang,finger_millet_seed,Materials,legumes_seeds,seeds,finger_millet_seed
250,['356'],alcoholic_beverage,Sura,finger_millet_seed,Materials,legumes_seeds,seeds,finger_millet_seed
251,['356'],alcoholic_beverage,Themsing,finger_millet_seed,Materials,legumes_seeds,seeds,finger_millet_seed
252,"['356', ' 524']",fermented_meat,Arjia,finger_millet_seed,Materials,legumes_seeds,seeds,finger_millet_seed
253,"['356', ' 524']",alcoholic_beverage,Raksi,finger_millet_seed,Materials,legumes_seeds,seeds,finger_millet_seed
254,['196'],cheese,Halloumi,goat_milk,Materials,dairy_products,milk,goat_milk
255,['231'],yogurt,Ergo,goat_milk,Materials,dairy_products,milk,goat_milk
256,['250'],cheese,Picodon,goat_milk,Materials,dairy_products,milk,goat_milk
257,['250'],cheese,Poligny_Saint_Pierre,goat_milk,Materials,dairy_products,milk,goat_milk
258,['250'],cheese,Sainte-Maure_de_Touraine,goat_milk,Materials,dairy_products,milk,goat_milk
259,['250'],cheese,Selles-sur-Cher,goat_milk,Materials,dairy_products,milk,goat_milk
260,['300'],cheese,Feta,goat_milk,Materials,dairy_products,milk,goat_milk
261,['300'],fermented_cereal,Trahana,goat_milk,Materials,dairy_products,milk,goat_milk
262,"['356', ' 050']",dairy_product,"Misti_dahi,_Mishti_doi,_Lal_dahi,_Payodhi",goat_milk,Materials,dairy_products,milk,goat_milk
263,['380'],cheese,Caprino_Fresco,goat_milk,Materials,dairy_products,milk,goat_milk
264,['380'],cheese,Caprino_Stagionato,goat_milk,Materials,dairy_products,milk,goat_milk
265,"['233', ' 643', ' 616']",fermented_cereal,Kvass,rye,Materials,cereal_food,secale,rye
266,"['246', ' 752']",fermented_cereal,Mammi,rye,Materials,cereal_food,secale,rye
267,['246'],beer,Sahti,rye,Materials,cereal_food,secale,rye
268,['276'],fermented_cereal,Lebkuchen,rye,Materials,cereal_food,secale,rye
269,"['231', ' 232', ' 706']",fermented_cereal,Injera,teff_grain,Materials,cereal_food,eragrostis,teff_grain
270,['231'],beer,Tella,teff_grain,Materials,cereal_food,eragrostis,teff_grain
271,['231'],yogurt,Ergo,cammel_milk,Materials,dairy_products,milk,cammel_milk
272,['231'],beer,Tella,gesho_leaves,Materials,vegetables,leafy vegetable,gesho_leaves
273,['246'],beer,Sahti,oat,Materials,cereal_food,avena,oat
274,"['250', ' 724', ' 372', ' 705']",alcoholic_beverage,Cider,apple,Materials,fruits,berry fruit,apple
275,['268'],cheese,Sulguni,buffalo_milk,Materials,dairy_products,milk,buffalo_milk
276,['356'],cheese,"Kalari,_Kradi",buffalo_milk,Materials,dairy_products,milk,buffalo_milk
277,['356'],Yoghurt,Lassi,buffalo_milk,Materials,dairy_products,milk,buffalo_milk
278,['356'],dairy_product,Shrikhand,buffalo_milk,Materials,dairy_products,milk,buffalo_milk
279,"['356', ' 050']",dairy_product,"Misti_dahi,_Mishti_doi,_Lal_dahi,_Payodhi",buffalo_milk,Materials,dairy_products,milk,buffalo_milk
280,['356'],dairy_product,"Ghee,_Gheu",buffalo_milk,Materials,dairy_products,milk,buffalo_milk
281,"['356', ' 524', ' 568', ' 050']",cheese,Paneer,buffalo_milk,Materials,dairy_products,milk,buffalo_milk
282,"['356', ' 524', ' 144', ' 050', ' 568']",Yoghurt,Dahi,buffalo_milk,Materials,dairy_products,milk,buffalo_milk
283,['360'],dairy_product,Dadih,buffalo_milk,Materials,dairy_products,milk,buffalo_milk
284,"['364', ' 368', ' 268', ' 792', ' 300', ' 422', ' 807', ' 688', ' 760', ' 499', ' 070', ' 004', ' 031', ' 398', ' 586']",dairy_product,"Kaymak,_Kajmak,_Kaimak,_Gemagh,_Geymar",buffalo_milk,Materials,dairy_products,milk,buffalo_milk
